,0
0,1814469.5089588251
1,1814455.439964184
2,1814322.448486875
3,1814322.448486875
4,1814322.448486875
5,1814322.448486875
6,1814322.448486875
7,1814322.448486875
8,1814322.448486875
9,1814322.448486875
10,1814322.448486875
11,1814322.448486875
12,1814322.448486875
13,1814322.448486875
14,1814322.448486875
15,1814322.448486875
16,1814322.448486875
17,1814322.448486875
18,1814322.448486875
19,1814322.448486875
20,1814322.448486875
21,1814322.448486875
22,1814322.448486875
23,1814322.448486875
24,1814322.448486875
25,1814322.448486875
26,1814322.448486875
27,1814322.448486875
28,1814322.448486875
29,1814322.448486875
30,1814322.448486875
31,1814322.448486875
32,1814322.448486875
33,1814322.448486875
34,1814322.448486875
35,1814322.448486875
36,1814322.448486875
37,1813600.5234742123
38,1814909.7999069113
39,1814639.6535509336
40,1814639.6535509336
41,1814639.6535509336
42,1819783.4673815803
43,1819660.4595269705
44,1819660.4595269705
45,1819660.4595269705
46,1819660.4595269705
47,1819660.4595269705
48,1819660.4595269705
49,1819660.4595269705
50,1819660.4595269705
51,1819660.4595269705
52,1819660.4595269705
53,1819660.4595269705
54,1819660.4595269705
55,1819660.4595269705
56,1819660.4595269705
57,1819660.4595269705
58,1819660.4595269705
59,1819660.4595269705
60,1819660.4595269705
61,1819660.4595269705
62,1819660.4595269705
