,0
0,1000000.0
1,999222.4975937165
2,999234.5155767433
3,996820.8780811797
4,994420.7104812055
5,991839.1651497153
6,989102.9762458964
7,989227.7730972102
8,980444.4850201022
9,978931.7055834727
10,979293.7289794694
11,962348.3871480433
12,975814.007707642
13,969666.2823601216
14,968327.1776408639
15,959128.9820904374
16,960701.7209765117
17,973867.0822363805
18,954692.6434292572
19,935048.0390474475
20,928686.8388101666
21,941546.1822118211
22,927081.4826044317
23,943159.9183195317
24,965242.1066757533
25,958133.1208320688
26,918151.6573462774
27,922791.1932920949
28,922964.663292095
29,906569.9668808823
30,876534.449867038
31,883007.9099797637
32,869478.8536628463
33,860772.9156550457
34,833903.7316869345
35,859547.4622711356
36,848987.2012360322
37,832025.0528900548
38,825529.9423817181
39,797548.0921931278
40,796177.671535205
41,814429.9829453459
42,783964.258413607
43,786135.8690921034
44,764315.2463455432
45,804536.7861590959
46,796095.8700676296
47,832093.5561406654
48,851558.01298435
49,847701.7539251583
50,872522.017309068
51,891592.8806929778
52,873895.6119145285
53,854333.5394508537
54,913447.3762392468
55,895664.041182884
56,908618.0631382224
57,931604.5820684012
58,915043.2450935608
59,881026.9245277899
60,891610.465937931
61,915676.2923675738
62,945698.4852842942
63,960429.7150241253
64,951757.7005498207
65,923259.0344009202
66,928292.4476721042
67,959474.605362302
68,962515.3436714185
69,938953.0569404598
70,954152.8530134956
71,967867.2148951123
72,978539.6302917949
73,940583.3608901404
74,957399.5169447459
75,946052.9745959396
76,954072.7807611276
77,959403.3473793608
78,957351.4338068607
79,958816.1466087124
80,979470.5387342105
81,995146.6539855928
82,995222.1971050476
83,1024586.755358873
84,1020875.2256970496
85,1020917.8664081208
86,1012809.3361089481
87,1045427.5841026047
88,1029577.226941317
89,1027298.1781238638
90,1000788.947781401
91,1012606.7824832997
92,1002429.8849079708
93,1040242.6168285914
94,1037051.5976751045
95,1039612.3254943151
96,1022473.9100976326
97,1021955.1239140142
98,1043723.1329732059
99,1026277.2888002172
100,1036496.3626534597
101,1050297.7430880745
102,1060381.5892142586
103,1071327.6007414113
104,1063455.9345166462
105,1068218.2735964113
106,1061507.1380501422
107,1054453.8964882717
108,1058272.977017182
109,1047298.0409072851
110,1046466.0852114296
111,1050134.2764329806
112,1022295.0630100667
113,1006641.5306775478
114,1007021.1696814481
115,1018452.5995687227
116,1018967.5958097753
117,995350.3993779892
118,997876.6895850099
119,1002258.7675743803
120,1025500.6018048032
121,1026583.1772752076
122,1033253.117162482
123,1021991.380339371
124,1025095.9812411756
125,997156.7932312316
126,1005593.4318969554
127,990838.5380047091
128,994034.8512000286
129,991046.2281174347
130,984772.4229667765
131,1008412.1829873502
132,1013627.7931943709
133,1042526.728742783
134,1045787.4300770591
135,1057374.760548535
136,1076071.4830696443
137,1095834.842225274
138,1099540.016193385
